date,open_prc,high_prc,low_prc,close_prc,base_prc,volume
1999-09-03,228000,244500,223000,241000,225000,1819980
1999-09-06,249000,252000,241000,245000,241000,1342907
1999-09-07,245000,248000,240000,241000,245000,948415
1999-09-08,239000,244500,235000,238000,241000,1279528
1999-09-09,238000,241000,231000,238000,238000,1093878
1999-09-10,235000,239500,231500,231500,238000,1231084
1999-09-13,240000,251500,236000,250000,231500,1531271
1999-09-14,245000,248500,236000,237000,250000,1096282
1999-09-15,239000,240500,233000,233000,237000,709764
1999-09-16,229000,230000,216500,218000,233000,1127055
1999-09-17,213000,220500,208000,218500,218000,1278055
1999-09-20,219500,224000,217000,221000,218500,657403
1999-09-21,231500,245000,225000,240000,221000,1537767
1999-09-22,240500,251500,235000,235500,240000,1413547
1999-09-27,238000,239500,220000,220000,235500,991991
1999-09-28,221000,225000,215000,217500,220000,857267
1999-09-29,217000,217000,206000,206000,217500,778142
1999-09-30,201000,209000,197000,197000,206000,1652824
1999-10-01,197000,200000,187000,196500,197000,1456916
1999-10-04,198000,202000,190000,190000,196500,800957
1999-10-05,195000,199000,191000,192000,190000,1287987
1999-10-06,195000,213000,193500,209000,192000,1378814
1999-10-07,210000,211500,202000,208000,209000,810365
1999-10-08,204000,204500,198500,200000,208000,834553
1999-10-11,198000,200500,195000,195000,200000,616634
1999-10-12,195000,203500,195000,203500,195000,792332
1999-10-13,200000,209500,199000,208000,203500,650974
1999-10-14,206000,211000,204000,208000,208000,715071
1999-10-15,210000,210500,201500,203500,208000,452595
1999-10-18,195000,199000,192000,193500,203500,603408
1999-10-19,194500,195000,183000,184000,193500,1132368
1999-10-20,186000,188500,180500,182000,184000,957076
1999-10-21,185000,189500,181000,182000,182000,859831
1999-10-22,180000,188500,178500,187000,182000,771183
1999-10-25,185500,186000,179000,179500,187000,561313
1999-10-26,176500,184500,175500,182000,179500,480149
1999-10-27,183000,186000,181000,182500,182000,322966
1999-10-28,186000,194500,184000,194000,182500,807717
1999-10-29,199500,205000,197500,200000,194000,1056907
1999-11-01,210000,214000,205000,208000,200000,613272
1999-11-02,207000,209000,205000,208000,208000,644592
1999-11-03,210000,219000,209000,212000,208000,824916
1999-11-04,218000,222000,215000,219000,212000,647817
1999-11-05,222000,224500,216000,216000,219000,609784
1999-11-08,217000,217500,209500,210000,216000,612169
1999-11-09,211000,223000,208500,221500,210000,947061
1999-11-10,220000,221000,215000,216000,221500,707761
1999-11-11,219500,224000,216000,216500,216000,747622
1999-11-12,222000,237500,221000,230000,216500,1189695
1999-11-15,240000,240000,225500,227000,230000,687524
1999-11-16,225000,235000,223000,235000,227000,737667
1999-11-17,239000,242000,225000,226000,235000,857492
1999-11-18,224000,229000,221000,227500,226000,655310
1999-11-19,231500,236000,227500,232000,227500,682900
1999-11-22,232000,232000,225000,226000,232000,577591
1999-11-23,226000,230000,222000,222000,226000,571893
1999-11-24,223000,227000,220000,226500,222000,501773
1999-11-25,230000,230000,222500,222500,226500,588443
1999-11-26,226000,232500,221000,226000,222500,880319
1999-11-29,230000,238000,226500,238000,226000,747927
1999-11-30,238000,245000,235000,240000,238000,959543
1999-12-01,237500,255000,237000,255000,240000,1436348
1999-12-02,258000,263500,247000,250000,255000,1067394
1999-12-03,253000,260000,251000,256000,250000,892690
1999-12-06,259000,275000,258500,275000,256000,1096821
1999-12-07,275000,280000,271000,278500,275000,907656
1999-12-08,278000,279500,270000,273500,278500,730112
1999-12-09,268000,273000,265500,270000,273500,1092752
1999-12-10,270000,274000,260000,266000,270000,847967
1999-12-13,270000,270000,258000,258000,266000,926917
1999-12-14,258000,263000,253500,255500,258000,792262
1999-12-15,252000,254500,237500,244500,255500,910813
1999-12-16,241500,244500,235500,239000,244500,703962
1999-12-17,242000,249000,237000,245000,239000,1072150
1999-12-20,248000,252000,244000,248500,245000,656436
1999-12-21,250000,268000,245000,252000,248500,967402
1999-12-22,257000,267500,253000,264000,252000,826858
1999-12-23,264000,285000,262000,279000,264000,1057262
1999-12-24,285000,286000,268000,273000,279000,708446
1999-12-27,273000,274500,257000,261000,273000,934057
1999-12-28,260000,278000,252500,266000,261000,1481697
2000-01-04,300000,305500,283000,305500,266000,1483967
2000-01-05,290000,303000,276000,279000,305500,1493604
2000-01-06,287500,289000,279000,281000,279000,1087810
2000-01-07,278000,283500,268000,277000,281000,806195
2000-01-10,280000,288500,279000,288500,277000,937615
2000-01-11,291000,305000,288500,288500,288500,1194974
2000-01-12,280500,287000,280000,286000,288500,584492
2000-01-13,280000,287000,278000,285500,286000,823830
2000-01-14,286000,294000,284000,291500,285500,987576
2000-01-17,300000,309000,296000,305000,291500,1270138
2000-01-18,308000,308000,299000,305000,305000,905231
2000-01-19,300000,302000,298000,298000,305000,804159
2000-01-20,293000,302000,291000,302000,298000,746360
2000-01-21,297500,299000,294000,294000,302000,650728
2000-01-24,290000,295000,285000,285000,294000,687183
2000-01-25,276000,282000,272000,272000,285000,885067
2000-01-26,275000,276000,270500,274000,272000,585734
2000-01-27,274000,281000,271500,276000,274000,558083
2000-01-28,282000,294000,277000,291000,276000,766398
2000-01-31,282000,286500,278000,279000,291000,792689
2000-02-01,280000,284000,263000,266000,279000,1429402
2000-02-02,261000,268500,255500,262500,266000,1282143
2000-02-03,262500,273000,248500,256500,262500,2855355
2000-02-07,257000,266500,252000,262000,256500,1282835
2000-02-08,267000,274000,265500,271500,262000,1169244
2000-02-09,278000,286000,274000,286000,271500,1021023
2000-02-10,283000,294000,280000,288000,286000,1236979
2000-02-11,298000,298000,284000,285000,288000,693257
2000-02-14,280000,283000,267000,269000,285000,882889
2000-02-15,269000,271000,257000,260000,269000,766393
2000-02-16,259000,260000,239000,250000,260000,1462389
2000-02-17,247000,255000,245500,254000,250000,1303738
2000-02-18,268500,281500,258000,265000,254000,2175083
2000-02-21,260000,263000,251500,253500,265000,529722
2000-02-22,250000,262000,250000,256000,253500,483669
2000-02-23,261000,263000,255000,257000,256000,554497
2000-02-24,256000,262000,253000,253500,257000,521526
2000-02-25,254000,257500,249000,256000,253500,557527
2000-02-28,250000,252500,240000,240000,256000,602864
2000-02-29,245000,257000,242000,256000,240000,1036420
2000-03-02,294000,294000,276000,294000,256000,2355092
2000-03-03,310000,312500,294000,300000,294000,2819891
2000-03-06,300000,302500,280000,282000,300000,783020
2000-03-07,280000,282000,274000,281000,282000,601414
2000-03-08,276000,300000,275000,296000,281000,649288
2000-03-09,298500,299000,281000,281000,296000,1117890
2000-03-10,289500,290000,276000,277000,281000,572199
2000-03-13,274000,274500,258000,259000,277000,644358
2000-03-14,258500,269000,258000,260500,259000,601241
2000-03-15,260000,270000,256000,270000,260500,922141
2000-03-16,274000,276000,268000,270000,270000,575981
2000-03-17,277000,278000,270000,274000,270000,481685
2000-03-20,280000,285500,276500,283000,274000,527321
2000-03-21,285000,297000,280500,294000,283000,898587
2000-03-22,298000,315000,294000,310000,294000,1739537
2000-03-23,324000,329000,310000,310000,310000,1299012
2000-03-24,316000,356000,309000,340000,310000,1805280
2000-03-27,348000,352000,335000,340000,340000,1354691
2000-03-28,345000,363000,341000,351500,340000,1488500
2000-03-29,351500,384000,349000,383000,351500,1561874
2000-03-30,376000,378000,352500,352500,383000,1492996
2000-03-31,340000,353500,332500,335000,352500,1277121
2000-04-03,346000,366000,343000,355000,335000,1136142
2000-04-04,350000,364500,333000,340000,355000,1166838
2000-04-06,343000,348000,334000,334000,340000,944729
2000-04-07,343000,363000,339000,360000,334000,847198
2000-04-10,375000,375000,360000,365000,360000,717709
2000-04-11,360000,360000,347500,355000,365000,581565
2000-04-12,348000,351500,343000,345500,355000,705096
2000-04-14,330000,334000,313000,313000,345500,1247397
2000-04-17,271000,287500,267000,276000,313000,1561048
2000-04-18,310000,312000,293000,302000,276000,1474625
2000-04-19,315000,323000,293000,300000,302000,1212342
2000-04-20,298000,308000,296000,301000,300000,746719
2000-04-21,303000,309000,298500,302500,301000,528513
2000-04-24,298500,301500,288000,290000,302500,556613
2000-04-25,281000,288000,276000,282000,290000,698014
2000-04-26,291000,293000,280000,280000,282000,785860
